year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl,fed_indv,fed_cpl,state_diff,state_diff_dbl
1990,CO,Living independently,Aged,444,888,54,309,390,579,255,false
1990,CO,Living independently,Blind and disabled,390,770,4,191,386,579,187,false
1990,CO,Adult foster care,,581,0,195,0,386,0,-195,false
1990,CO,Home care,Aged,763,0,377,0,386,0,-377,false
1990,CO,Home care,Blind and disabled,709,0,323,0,386,0,-323,false
1990,CO,Individual with essential spouse,Blind and disabled,514,0,128,0,386,0,-128,false
1991,CO,Living independently,Aged,452,904,45,294,407,610,249,false
1991,CO,Living independently,Blind and disabled,407,814,0,204,407,610,204,false
1991,CO,Adult foster care,,604,0,197,0,407,0,-197,false
1991,CO,Home care,Aged,771,0,364,0,407,0,-364,false
1991,CO,Home care,Blind and disabled,726,0,319,0,407,0,-319,false
1991,CO,Individual with essential spouse,Blind and disabled,535,0,128,0,407,0,-128,false
1992,CO,Living independently,Aged,478,956,56,323,422,633,267,false
1992,CO,Living independently,Blind and disabled,422,844,0,211,422,633,211,false
1992,CO,Adult foster care,,628,0,206,0,422,0,-206,false
1992,CO,Home care,Aged,778,0,356,0,422,0,-356,false
1992,CO,Home care,Blind and disabled,722,0,300,0,422,0,-300,false
1992,CO,Individual with essential spouse,Blind and disabled,550,0,128,0,422,0,-128,false
1994,CO,Living independently,Aged,502,992,56,323,446,669,267,false
1994,CO,Living independently,Blind and disabled,446,880,0,211,446,669,211,false
1994,CO,Adult foster care,,652,0,206,0,446,0,-206,false
1994,CO,Home care,Aged,802,0,356,0,446,0,-356,false
1994,CO,Home care,Blind and disabled,746,0,300,0,446,0,-300,false
1994,CO,Individual with essential spouse,Blind and disabled,574,0,128,0,446,0,-128,false
1995,CO,Living independently,Aged,514,1010,56,323,458,687,267,false
1995,CO,Living independently,Blind and disabled,458,898,0,211,458,687,211,false
1995,CO,Adult foster care,,664,0,206,0,458,0,-206,false
1995,CO,Home care,Aged,814,0,356,0,458,0,-356,false
1995,CO,Home care,Blind and disabled,758,0,300,0,458,0,-300,false
1995,CO,Individual with essential spouse,Blind and disabled,586,0,128,0,458,0,-128,false
1996,CO,Living independently,Aged,526,1028,56,323,470,705,267,false
1996,CO,Living independently,Blind and disabled,470,916,0,211,470,705,211,false
1996,CO,Adult foster care,,676,0,206,0,470,0,-206,false
1996,CO,Home care,Aged,826,0,356,0,470,0,-356,false
1996,CO,Home care,Blind and disabled,770,0,300,0,470,0,-300,false
1996,CO,Individual with essential spouse,Blind and disabled,598,0,128,0,470,0,-128,false
1997,CO,Living independently,Aged,546,1072,62,346,484,726,284,false
1997,CO,Living independently,Blind and disabled,484,964,0,238,484,726,238,false
1997,CO,Adult foster care,,699,0,215,0,484,0,-215,false
1997,CO,Home care,Aged,851,0,367,0,484,0,-367,false
1997,CO,Home care,Blind and disabled,851,0,367,0,484,0,-367,false
1997,CO,Individual with essential spouse,Blind and disabled,617,0,133,0,484,0,-133,false
1998,CO,Living independently,Aged,533,1086,39,345,494,741,306,false
1998,CO,Living independently,Blind and disabled,494,979,0,238,494,741,238,false
1998,CO,Adult foster care,,725,0,231,0,494,0,-231,false
1998,CO,Home care,Aged,938,0,444,0,494,0,-444,false
1998,CO,Home care,Blind and disabled,879,0,385,0,494,0,-385,false
1998,CO,Individual with essential spouse,Blind and disabled,627,0,133,0,494,0,-133,false
1999,CO,Living independently,Aged,536,36,500,0,36,36,-500,false
1999,CO,Living independently,Blind and disabled,1072,321,1000,249,72,72,-751,false
1999,CO,Adult foster care 4,,730,0,230,0,500,0,-230,false
1999,CO,Home care,Aged,932,0,432,0,500,0,-432,false
1999,CO,Home care,Blind and disabled,896,0,396,0,500,0,-396,false
1999,CO,Individual with essential spouse,Blind and disabled,730,0,230,0,500,0,-230,false
2000,CO,Living independently,Aged,548,1096,36,327,512,769,291,false
2000,CO,Living independently,Blind and disabled,512,1024,0,255,512,769,255,false
2000,CO,Adult foster care,,742,0,230,0,512,0,-230,false
2000,CO,Home care,Aged,944,0,432,0,512,0,-432,false
2000,CO,Home care,Blind and disabled,908,0,396,0,512,0,-396,false
2000,CO,Individual with essential spouse,Blind and disabled,769,0,257,0,512,0,-257,false
2004,CO,Living independently or in the home of another,Aged,601,1193,37,347,564,846,310,false
2004,CO,Adult foster care,Blind and disabled,803,1588,239,742,564,846,503,false
2004,CO,Home care,,967,0,403,0,564,0,-403,false
2005,CO,Living independently or in the home of another,Aged,604,1208,25,339,579,869,314,false
2005,CO,Adult foster care,Blind and disabled,818,1611,239,742,579,869,503,false
2005,CO,Home care,,982,0,403,0,579,0,-403,false
2006,CO,Living independently or in the home of another,Aged,628,1256,25,352,603,904,327,false
2006,CO,Adult foster care,Blind and disabled,873.69,1747.38,270.69,843.38,603,904.0000000000001,572.69,false
2006,CO,Home care,,1067.15,0,464.15,0,603.0000000000001,0,-464.15,false
2007,CO,Living independently or in the home of another,Aged,648,1296,25,362,623,934,337,false
2007,CO,Adult foster care,Blind and disabled,918,1836,295,902,623,934,607,false
2007,CO,Home care,,1087.15,0,464.15,0,623.0000000000001,0,-464.15,false
2008,CO,Living independently or in the home of another,Aged,662,1324,25,368,637,956,343,false
2008,CO,Adult foster care,Blind and disabled,1200,2400,563,1444,637,956,881,false
2008,CO,Home care,,1101.15,0,464.15,0,637.0000000000001,0,-464.15,false
2011,CO,Living independently or in the home of another,Aged,699,1398,25,387,674,1011,362,false
2011,CO,Adult foster care,Blind and disabled,1250,2500,551,1489,699,1011,938,false
2011,CO,Home care,,1174,0,475,0,699,0,-475,false